Category,MeshCore Type,Transport,Destination,LXMF Fields,Notes
Text Messaging,CMD_SEND_TXT_MSG,propagated,meshcore.node.<recipient_hash>,"f[01]: message text","Bridge intercepts when recipient is remote; falls through to radio for local"
Text Messaging,CMD_SEND_CHANNEL_TXT_MSG,propagated,meshcore.channel.<channel_hash>,"f[01]: message text; f[FB]: {ch_idx, ch_name}",Channel hash derived from channel name + 16-byte secret via HKDF
Text Messaging,ContactMsgRecv,propagated,meshcore.node.<local_node_hash>,"f[01]: text; f[FB]: {sender_prefix[8], path_len, ts}","Synthesized inbound; bridge delivers to local radio as companion push"
Text Messaging,ContactMsgRecvV3,propagated,meshcore.node.<local_node_hash>,"f[01]: text; f[FB]: {sender_prefix[8], path_len, ts, snr}","v3 adds SNR; prefer this encoding for all new bridge deployments"
Text Messaging,ChannelMsgRecv,propagated,meshcore.channel.<channel_hash>,"f[01]: text; f[FB]: {ch_idx, path_len, ts}",Synthesized inbound from LXMF channel destination
Text Messaging,ChannelMsgRecvV3,propagated,meshcore.channel.<channel_hash>,"f[01]: text; f[FB]: {ch_idx, path_len, ts, snr}","Preferred over v1; SNR may be absent for LXMF-originated messages (set null)"
Text Messaging,MsgSent,receipt,—,Reticulum delivery confirmation,Transport-layer; bridge maps LXMF propagation receipt to MsgSent tag
Text Messaging,Ack,receipt,—,Reticulum delivery confirmation,4-byte tag echoed as LXMF message hash; no separate LXMF message needed
Text Messaging,MessagesWaiting,—,—,—,Bridge-synthesized on LXMF propagation node poll; no wire representation
Text Messaging,NoMoreMsgs,—,—,—,Bridge-synthesized after draining propagation queue
Advertisements & Discovery,CMD_SEND_SELF_ADVERT,announce,meshcore.node.<self_hash>,"Announce app_data: {display_name[32], lat_udeg, lon_udeg, opt_in_flags}","Triggers Reticulum announce; coordinates precision-reduced per CoreNet privacy policy"
Advertisements & Discovery,Advertisement,announce,meshcore.node.<source_hash>,"Announce app_data: {display_name[32], lat_udeg, lon_udeg, path_len}","Remote node announce relayed by bridge; one announce per observed advertisement"
Advertisements & Discovery,PushCodeNewAdvert,announce,meshcore.node.<source_hash>,"Announce app_data: {display_name[32], lat_udeg, lon_udeg, opt_in_flags}","Identical encoding to Advertisement; push variant triggers immediate re-announce"
Advertisements & Discovery,AdvertResponse,direct,meshcore.node.<requester_hash>,"f[FB]: {tag[4], pubkey[32], node_type, display_name, lat_udeg, lon_udeg}","Reply to explicit advert query; direct (not announce) since recipient is known"
Advertisements & Discovery,ControlType::NodeDiscoverReq,direct,meshcore.bridge.<gateway_hash>,"f[FB]: {mc_type: 0x80, region_tag}",Query bridge manifest for nodes in a region
